,Season,Episode,Scene,Scene_Start,Scene_End,Speaking_Chararacters,Appearing_Characters,Scene_Tiitles,Specific_Stories,Scene_Texts,Scene_Keybords,Scene_Entities,MRS,Scene_Links,Scene_on_Video,Scene_Topics
10,1,1,10,1278.8,1332.16,"jon_snow,robb_stark,maester_luwin,catelyn_stark,theon_greyjoy","jon_snow,robb_stark,maester_luwin,catelyn_stark,theon_greyjoy","Robert Barathaon as a King,Ned Stark as King's Hand",Robert Barathaon as a King- Robert Arrival at Winterfell,"We need plenty of candles for Lord Tyrion chamber. I am told he reads all night. I am told he drinks all night. How much could he possibly drink? A man of his... stature. We have brought up eight barrels of ale from the cellar. Perhaps we will find out. In any case, candles. Why your mother so dead-set on us getting pretty for the king? It for the queen, I bet. I hear she I hear the prince is a right royal prick. Think of all those southern girls he gets to stab with his right royal prick. Go on, Tommy, shave him good. He never met a girl he likes better than his own hair.",met royal right prick queen drink,"['tyrion_lannister', 'tommy']",0,1E01S20,22,[3]
11,1,1,11,1332.16,1379.84,"catelyn_stark,bran_stark","catelyn_stark,maester_luwin,bran_stark",Bran Stark's Journey-raven,Bran Stark- Bran climbing,"Gods, but they grow fast. Brandon! I saw the king! He got hundreds of people! How many times have I told you No climbing! But he coming right now! Down our road!",road mani time right brandon saw come climb king,['brynden_tully'],0,"1E01S10,1E01S20",23,[7]
12,1,1,12,1379.84,1407.6,"catelyn_stark,bran_stark","catelyn_stark,maester_luwin,bran_stark","Robert Barathaon as a King,Bran Stark's Journey",Bran Stark- Bran climbing,I want you to promise me No more climbing. I promise. D'you know what? What? You always look at your feet before you lie. Run and find your father. Tell him the king is close.,father foot know run climb lie promise tell close,[],0,1E01S20,24,[5]
13,1,1,13,1407.6,1655.88,"robert_baratheon,sansa_stark,cersei_lannister,arya_stark,catelyn_stark,eddard_stark","bran_stark,tommen_baratheon,cersei_lannister,myrcella_baratheon,jon_snow,jaime_lannister,rickon_stark,sansa_stark,jory_cassel,rodrik_cassel,sandor_clegane,summer,robert_baratheon,theon_greyjoy,eddard_stark,maester_luwin,arya_stark,joffrey_baratheon,catelyn_stark,hodor","Robert Barathaon as a King,Ned Stark as King's Hand,Tyrion Lannister's Journey ",Robert Barathaon as a King- Robert Arrival at Winterfell,"Where Arya? Sansa, where your sister? Hey,, hey, hey, hey. What are you doing with that on? Move! Your Grace. You have got fat. Cat! Your Grace. Nine years. Why have not I seen you? Where the hell have you been? Guarding the North for you, Your Grace. Winterfell is yours. Where the Imp? Will you shut up? Who have we here? You must be Robb. Your name is? Arya. That Jaime Lannister. The queen twin brother. Would you please shut up. My queen. My queen. Take me to your crypt. I want to pay my respects. We have been riding for a month, my love. Surely the dead can wait. Ned. Where the Imp? Where is our brother? Go find the little beast.",arya shut hey imp ride queen grace,"['robb_stark', 'jaime_lannister', 'arya_stark', 'sansa_stark', 'north', 'north', 'north']",0,1E01S16,25,[10]
14,1,1,14,1655.88,1742.88,"robert_baratheon,eddard_stark","robert_baratheon,eddard_stark","Robert Barathaon as a King,Ned Stark as King's Hand,Tyrion Lannister's Journey ","Robert Barathaon as a King-Wedding between Joffrey Baratheon and Sansa Stark , Ned Stark-Ned Stark as King's Hand","Tell me about Jon Arryn. One minute he was fine, and then... Burned right through him, whatever it was. I loved that man. We both did. He never had to teach you much, but me... You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what. Aye. Do not look at me like that. Not his fault I did not listen. I need you, Ned. Down at Kings Landing. Not up here, where you are no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king. I am not worthy of the honor. I am not trying to honor you. I am trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it not too late. I have a son, you have a daughter. We will join our Houses.",ned meant damn help tri right whore honor,"['aya', 'arya_stark', 'eddard_stark', 'kings', 'iron throne', 'kings', 'iron throne', 'kings', 'iron throne']",0,1E01S24,26,[16]
15,1,1,15,1742.88,1867.6,"tyrion_lannister,jaime_lannister,ros","ros,jaime_lannister,tyrion_lannister",Tyrion Lannister's Journey ,Tyrion Lannister-Tyrion enjoying with woman,"Mmh. It is true what they say about the Northern girls. Did you hear the king in Winterfell? I did hear something about that. And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms. And the other brother? The queen has two brothers? There the pretty one. And there the clever one. I hear they call him the Imp. I hear he hates that nickname. Oh? I hear he more than earned it. I hear he a drunken little lecher into all manner of perversions. Clever girl. We have been expecting you, Lord Tyrion. Have you? The gods gave me one blessing. Do not get up. M'lord. Should I explain to you the meaning of a closed door in a whorehouse, brother? You have much to teach me, no doubt. But our sister craves your attention. She has odd cravings, our sister. A family trait. Now, the Starks are feasting us at sundown. Do not leave me alone with these people. I am sorry, I have begun the feast a bit early. And this is the first of many courses. I thought you might say that. But since we are short on time, Come on, girls. See you at sundown. Close the door!",hear girl crave brother close clever door feast sundown,"['lord_varys', 'stark_guard', 'northern', 'winterfell', 'kingdoms seven', 'northern', 'winterfell', 'seven kingdoms', 'northern', 'winterfell', 'seven kingdoms']",0,1E01S24,27,[2]
16,1,1,16,1867.6,1914.36,"robert_baratheon,eddard_stark","eddard_stark,robert_baratheon,","Robert Barathaon as a King,Ned Stark as King's Hand,Tyrion Lannister's Journey ",Robert Barathaon as a King-Robert 's Targaryens hatred,"Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her. She was my sister. This is where she belongs. She belonged with me. In my dreams, I kill him every night. It done, Your Grace. The Targaryens are gone. Not all of them.",kill hill dream belong everi place buri sun somewhere,[],0,Non,28,[10]
17,1,1,17,1914.36,2059.96,"daenerys_targaryen,viserys_targaryen","daenerys_targaryen,viserys_targaryen",Visery Targaryen's claim to the throne ,Visery Targaryen's claim to the throne-Visery preparing Daenerys for wedding,"Daenerys! Daenerys! There our bride to be! Look - a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Is not he a gracious host? We have been his guests for over a year and he never asked us for anything. Illyrio is no fool. He knows I will not forget my friends when I come into my throne. You still slouch. Let me see. I need you to be perfect today. Can you do that for me? You do not want to wake the dragon, do you? No. When they write the history of my reign, sweet sister, they will say it began today. It too hot, my lady.",ask gracious come want today reign illyrio began,['illyrio_mopatis'],0,1E01S27,29,[17]
18,1,1,18,2059.96,2180.28,"viserys_targaryen,illyrio_mopatis","illyrio_mopatis,viserys_targaryen,daenerys_targaryen,khal_drogo,qotho","Visery Targaryen's claim to the throne , Khal Drogo's Journey-Khal Drogo likes Daenerys Targaryen",Visery Targaryen's claim to the throne-Visery preparing Daenerys for wedding,"Where is he? The Dothraki are not known for their punctuality. May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen. Come forward, my dear. Where he going? The ceremony is over. But he did not say anything. Did he like her? Trust me, Your Grace. If he did not like her, we would know.",house ceremoni name grace targaryen come honor men,"['house_targaryen', 'daenerys_targaryen', 'andals', 'roose_bolton', 'dothraki', 'first men', 'dothraki', 'first men', 'dothraki', 'first men']",0,1E01S28,30,[17]
19,1,1,19,2180.28,2278.32,"daenerys_targaryen,viserys_targaryen,illyrio_mopatis","illyrio_mopatis,viserys_targaryen,daenerys_targaryen",Daenerys Targaryen's claim to the throne,"Visery Targaryen's claim to the throne-Visery preparing Daenerys for wedding,Daenerys Targaryen- Daenerys don't want to get married","It will not be long now. Soon you will cross the Narrow Sea and take back your father throne. The people drink secret toasts to your health. They cry out for their true king. When will they be married? Soon. The Dothraki never stay still for long. Is it true they lie with their horses? I would not ask Khal Drogo. Do you take me for a fool? I take you for a king. Kings lack the caution of common men. My apologies if I have given offense. I know how to play a man like Drogo. I give him a queen and he gives me an army. So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home? I do not know. We go home with an army. With Khal Drogo army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that what it took.",go horse take khal took home armi soon drogo,"['khal_drogo', 'sea narrow', 'dothraki', 'narrow sea', 'dothraki', 'narrow sea', 'dothraki']",0,1E01S29,31,[18]
20,1,1,20,2278.32,2327.4,"sansa_stark,catelyn_stark","sansa_stark,catelyn_stark","Robert Barathaon as a King-Wedding between Joffrey Baratheon and Sansa Stark, Sansa Stark's Journey",Sansa and Joffrey-Wedding between Joffrey Baratheon and Sansa Stark,"Do you think Joffrey will like me? What if he thinks I am ugly? Then he is the stupidest prince that ever lived. He so handsome. When would we be married? Soon or do we have to wait? Hush now. Your father has not even said yes. Why would he say no? He would be the second most powerful man in the kingdoms. He would have to leave home. He would have to leave me. And so would you. You left your home to come here. And I would be queen someday. Please make father say yes. Sansa... Please, please. It the only thing I ever wanted.",say would please sansa home thing queen,"['joffrey_baratheon', 'hugh_of_the_vale']",0,1E01S24,32,[3]
21,1,1,21,2349.08,2516.72,"tyrion_lannister,jon_snow,benjen_stark","tyrion_lannister,jon_snow,benjen_stark",Jon Snow as Lord Commander-jon_snow going to the wall,Jon Snow-Jon is bastard-Jon as night's watch,"Is he dead yet? Uncle Benjen! You got bigger. I rode all day. Did not want to leave you alone with the Lannisters. Why are not you at the feast? Lady Stark thought it might insult the royal family to seat a bastard in their midst. Well, you are always welcome on the wall. No bastard was ever refused a seat there. So take me with you when you go back. Jon... Father will let me if you ask him, I know he will. The Wall is not going anywhere. I am ready to swear your oath. You do not understand what you would be giving up. We have no families. None of us will ever father sons. I do not care about that. You might, if you knew what it meant... I would better get inside. Rescue your father from his guests. We will talk later. Your uncle in the Night Watch. What are you doing back there? Preparing for a night with your family. I have always wanted to see the Wall. You are Tyrion Lannister. The queen brother? My greatest accomplishment. You - you are Ned Stark bastard, are not you? Did I offend you? Sorry. You are the bastard, though. Lord Eddard Stark is my father. And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you. What the hell do you know about being a bastard? All dwarves are bastards in their fathers' eyes.",famili bastard wall uncle father seat rescue stark rest,"['eddard_stark, 'eddard_stark', 'tyrion_lannister', 'lady_crane']",0,1E01S14,34,[17]
22,1,1,22,2516.72,2574.64,"robb_stark,eddard_stark,benjen_stark","robb_stark,eddard_stark,benjen_stark","Robert Barathaon as a King,Ned Stark as King's Hand",Ned Stark as King's Hand,"You at a feast -- It like a bear in a trap. The boy I beheaded. Did you know him? Of course I did. Just a lad. But he was tough, Ned. A true Ranger. He was talking madness. Said the Walkers slaughtered his friends. The two he was with are still missing. A wildling ambush. Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king.",friend brother know trap ranger talk might behead,['walder_frey'],0,1E01S31,35,[6]
23,1,1,23,2574.64,2653.36,"sansa_stark,cersei_lannister,catelyn_stark","cersei_lannister,robert_baratheon,jaime_lannister,theon_greyjoy,benjen_stark,eddard_stark,sansa_stark,arya_stark,joffrey_baratheon,robb_stark,catelyn_stark,rodrik_cassel","Robert Barathaon as a King-Wedding between Joffrey Baratheon and Sansa Stark, Ned Stark as King's Hand",Robert Barathaon as a King- Robert Arrival at Winterfell,"Winter is coming. Winter is coming. Uncle Benjen. Robb boy. How are ye? I am good. Yes. Lovely country. I am sure it very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time. Hello, little dove. But you are a beauty. How old are you? Thirteen, Your Grace. You are tall. Still growing? I think so, Your Grace. And have you bled yet? No, Your Grace. And your dress. Did you make it? Such talent. You must make something for me. I hear we might share a grandchild someday. I hear the same. Your daughter will do well in the capital. Such a beauty should not stay hidden up here forever.",hear winter grace beauti robb might rememb,"['benjen_stark', 'eddard_stark']",0,1E01S31,36,[13]
24,1,1,24,2653.36,2683.16,"jaime_lannister,eddard_stark","cersei_lannister,robert_baratheon,jaime_lannister,theon_greyjoy,benjen_stark,eddard_stark,sansa_stark,arya_stark,joffrey_baratheon,robb_stark,catelyn_stark,rodrik_cassel",Ned Stark as King's Hand,Ned Stark as King's Hand-Ned attacked by Jaime,"Your pardon. I hear we might be neighbors soon. I hope it true. Yes, the king has honored me with his offer. I am sure we will have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale. I do not fight in tournaments. No? Getting a little old for it? I do not fight in tournaments because when I fight a man for real, I do not want him to know what I can do. Well said.",hear fight know stale tournament celebrate might king,[],0,1E01S31,37,[18]
25,1,1,25,2683.16,2703.04,"sansa_stark,robb_stark","cersei_lannister,robert_baratheon,jaime_lannister,theon_greyjoy,benjen_stark,eddard_stark,sansa_stark,arya_stark,joffrey_baratheon,robb_stark,catelyn_stark,rodrik_cassel",Arya Stark's Journey,Arya Stark-Making Sansa angry,Arya! Time for bed.,time arya bed,[],0,1E01S31,38,[2]
26,1,1,26,2703.04,2877.2,"catelyn_stark,eddard_stark,maester_luwin","catelyn_stark,eddard_stark,maester_luwin",Robert Barathaon as a King-Robert's illegitimate children-Death of Jon Arryn,"Robert's illegitimate children-Death of Jon Arryn,Ned Stark as King's Hand-Ned leaving Winterfell","I am a Northman. I belong here with you, not down south in that rat nest they call a capital. I will not let him take you. The king takes what he wants. That why he king. I will say, 'Listen, fat man, you are not taking my husband anywhere. He belongs to me now.' How did he get so fat? He only stops eating when it time for a drink. It Maester Luwin, my lord. Send him in. Pardon, my lord, my lady. A rider in the night from your sister. Stay. This was sent from the Eyrie. What she doing at the Eyrie? She has not been back there since her wedding. What news? She fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger. She fresh widowed, Cat. She does not know what she saying. Lysa head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son life, if she was not certain her husband was murdered? If this news is true, and the Lannisters conspire against the throne, who but you can protect the king? They murdered the last Hand. Now you want Ned to take the job. The king rode for a month to ask Lord Stark help. He the only one he trusts. You swore the king an oath, my lord. He spent half his life fighting Robert wars. He owes him nothing. Your father and brother rode south once on a king demand. A different time. Different king.",news say murder capit take fat rode differ eyrie king,"['house_stark', 'lannister_captain', 'eddard_stark', 'arya_stark', 'robert_baratheon', 'rast', 'mandon_moore', 'lysa_arryn', 'northman', 'eyrie', 'eyrie', 'house_lannister', 'northman', 'eyrie', 'eyrie', 'lannisters', 'northman', 'eyrie', 'eyrie', 'lannisters']",0,1E01S14,39,[3]
27,1,1,27,2877.2,3198.44,"viserys_targaryen,illyrio_mopatis,daenerys_targaryen,jorah_mormont","illyrio_mopatis,rhaegal,viserys_targaryen,viserion,jorah_mormont,qotho,drogon,daenerys_targaryen,khal_drogo","Visery Targaryen's claim to the throne, Khal Drogo's Journey","Visery Targaryen's claim to the throne-Visery preparing Daenerys for wedding,Daenerys Targaryen- Daenerys get married to Khal Drogo","When do I meet with the Khal? We need to begin planning the invasion. If Khal Drogo has promised you a crown, you shall have it. When? When their omens favor war. I piss on Dothraki omens. I waited 17 years to get my throne back. A Dothraki wedding without at least three deaths is considered a dull affair. A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms. Thank you, ser. Are you from my country? Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king. Dragons' eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful. Thank you, Magister. She beautiful... Ser Jorah, I do not know how to say 'thank you' in Dothraki. There is no word for 'thank you' in Dothraki. Make him happy.",omen ser khal beauti jorah meet dothraki thank,"['khal_drogo', 'jorah_mormont', 'mormont', 'dothraki_bloodrider_1', 'khal', 'dothraki', 'dothraki', 'khaleesi', 'kingdoms seven', 'island bear', 'shadow lands', 'asshai', 'dothraki', 'khal', 'dothraki', 'dothraki', 'khaleesi', 'seven kingdoms', 'bear island', 'shadow lands', 'asshai', 'dothraki', 'khal', 'dothraki', 'dothraki', 'khaleesi', 'seven kingdoms', 'bear island', 'shadow lands', 'asshai', 'dothraki']",1,1E01S28,40,[15]
28,1,1,28,3198.44,3296.96,"khal_drogo,daenerys_targaryen","daenerys_targaryen,khal_drogo",Khal Drogo's Journey,Daenerys Targaryen- Daenerys as wife of Khal Drogo,No. Do you know the Common Tongue? No. Is 'no' the only word that you know? No.,common word tongue know,[],0,1E01S39,41,[16]
29,1,1,29,3296.96,3371.44,"robert_baratheon,sandor_clegane,tyrion_lannister,eddard_stark","bran_stark,sandor_cleganer,summer,robert_baratheon,theon_greyjoy,benjen_stark,eddard_stark,tyrion_lannister,robb_stark","Robert Barathaon as a King,Ned Stark as King's Hand","Robert Barathaon as a King- Robert hunting,Ned Stark as King's Hand-Ned leaving Winterfell, Tyrion Lannister-Tyrion hunting","Rough night, Imp? If I get through this without squirting from one end or the other, it will be a miracle. I did not pick you for a hunter. The greatest in the land. My spear never misses. It not hunting if you pay for it. Are you as good with a spear as you used to be? No, but I am still better than you. I know what I am putting you through. Thank you for saying yes. I only ask you because I need you. You are a loyal friend. You hear me? A loyal friend. The last one I have got. I hope I will serve you well. You will. And I will make sure you do not look so fucking grim all the time. Come on, boys, let go kill some boar! Come on, you.",friend miracle let got know loyal one squirt spear,[],0,1E01S36,42,[15]
30,1,1,30,3371.44,3426.92,"jaime_lannister,bran_stark,cersei_lannister","bran_stark,,jaime_lannister,cersei_lanniste","Jaime Lannister deeds-Cerseil Lannister and Jaime Lannister affair,  Bran Stark's Journey-Bran Stark falls,Cersei Lannister as Queen-Cerseil Lannister and Jaime Lannister affair","Bran Stark-Bran climbing-Bran falls, Jaime Lannister- Jaime affair with Cersei-Bran climbing-Bran falls","STOP.Stop. Are you completely mad? He saw us. It all right. It all right. He saw us! I heard you the first time. Quite the little climber, are not you? How old are you, boy? Ten Ten. The things I do for love.",ten right stop thing saw quite,[],-1,1E01S22,43,[17]
31,1,2,31,116.36,204.8,"jorah_mormont,daenerys_targaryen","doreah,viserys_targaryen,jhiqui,daenerys_targaryen,irri,jorah_mormont,khal_drogo","Daenerys Targaryen's claim to the throne, Khal Drogo's Journey ",Daenerys Targaryen- Daenerys as wife of Khal Drogo,"You need to drink, child... And eat. Is not there anything else? The Dothraki have two things in abundance grass and horses. People ca not live on grass... In the Shadow Lands beyond Asshai, they say there are fields of ghost grass with stalks as pale as milk that glow in the night. It murders all other grass. The Dothraki believe that one day it will cover everything. That the way the world will end...It will get easier.",pale milk dothraki believe beyond two grass,"['dothraki', 'shadow lands', 'asshai', 'dothraki', 'dothraki', 'shadow lands', 'asshai', 'dothraki', 'dothraki', 'shadow lands', 'asshai', 'dothraki']",0,1E01S39,2,[7]
32,1,2,32,204.8,281.16,"jorah_mormont,irri,viserys_targaryen,doreah","jorah_mormont,irri,viserys_targaryen,doreah",Visery Targaryen's claim to the throne,"Daenerys Targaryen- Daenerys as wife of Khal Drogo,Visery Targaryen's claim to the throne-Visery crown","Khaleesi! Your hands. We are still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You would be more comfortable there. I have no interest in hospitality or comfort. I will stay with Drogo until he fulfils his end of the bargain and I have my crown. As you wish, your Grace. Well, Mormont, as brutish as this life is, I suppose it is preferable to beheading. What did Ned Stark want you for? Buying from a slaver? Selling to one... Some poachers I caught on my land. Under my reign, you will not be punished for such nonsense. You can rest assured of that.",ned wish slaver hospit poacher reign illyrio rest grace,"['khal_drogo', 'eddard_stark, 'maester_luwin', 'khaleesi your', 'pentos', 'khaleesi your', 'pentos', 'khaleesi your', 'pentos']",0,1E02S1,3,[14]
33,1,2,33,281.16,374.64,"tyrion_lannister,sandor_clegane,joffrey_baratheon","sandor_clegane,joffrey_baratheon,tyrion_lannister","Joffrey Baratheon's Journey-Joffrey Barathaon as prince,Tyrion Lannister's Journey-Tyrion Lannister punishes Joffrey",Tyrion Lannister- Tyrion desciplines Joffrey,"Better-looking bitches than you are used to, Uncle. My mother been looking for you. We ride for King Landing today. Before you go, you will call on Lord and Lady Stark and offer your sympathies. What good will my sympathies do them? None. But it is expected of you. Your absence has already been noted. The boy means nothing to me. And I ca not stand the wailing of women. One word and I will hit you again. I am telling mother! Go! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand? You ca not... Do you understand? The Prince will remember that, little lord. I hope so. If he forgets, be a good dog and remind him. Time for breakfast...",ladi lord sympathi remind wail understand tell rememb,"['house_stark', 'lady_crane']",1,1E01S42,4,[9]
